KEY,FREQ,CURRENCY,CURRENCY_DENOM,EXR_TYPE,EXR_SUFFIX,TIME_PERIOD,OBS_VALUE,OBS_STATUS,OBS_CONF,OBS_PRE_BREAK,OBS_COM,TIME_FORMAT,BREAKS,COLLECTION,COMPILING_ORG,DISS_ORG,DOM_SER_IDS,PUBL_ECB,PUBL_MU,PUBL_PUBLIC,UNIT_INDEX_BASE,COMPILATION,COVERAGE,DECIMALS,NAT_TITLE,SOURCE_AGENCY,SOURCE_PUB,TITLE,TITLE_COMPL,UNIT,UNIT_MULT
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2004-03,4.7642304347826,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2004-04,4.759715,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2004-05,4.7209476190476,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2004-06,4.5906045454545,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2004-07,4.4651045454545,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2004-08,4.4310045454545,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2004-09,4.3748363636364,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2004-10,4.318219047619,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2004-11,4.2573090909091,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2004-12,4.1353695652174,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2005-01,4.0794142857143,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2005-02,3.986655,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2005-03,4.0122666666667,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2005-04,4.1559285714286,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2005-05,4.1749136363636,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2005-06,4.0606363636364,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2005-07,4.0986285714286,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2005-08,4.0436173913043,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2005-09,3.9160090909091,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2005-10,3.9228666666667,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2005-11,3.9701181818182,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2005-12,3.8501428571429,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2006-01,3.8201,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2006-02,3.79414,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2006-03,3.8836565217391,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2006-04,3.9176722222222,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2006-05,3.8953863636364,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2006-06,4.0260863636364,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
EXR.M.PLN.EUR.SP00.A,M,PLN,EUR,SP00,A,2006-07,3.9962238095238,A,F,,,P1M,,A,,,,,,,99Q1=100,,,4,,4F0,,Polish zloty/Euro,"ECB reference exchange rate, Polish zloty/Euro, 2.15 pm (C.E.T.)",PLN,0
